id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchase,numwebpurchases,numcatalogpurcha,numstorepurchase,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,totalchildren,totalspending,totalpurchases,totalcampaignsac,age,familysize,costumertenuredays,spendingincomeratio,webpurchaseratio,storepurchaserat,webconversionrate,dealpurchaseratio,campaignacceptancerate,is_parent,pc1,pc2,cluster
5524,1957,2,3,58138,0,0,9/4/12,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,1617,22,1,64,1,663,0.027813134,0.347826087,0.173913043,1,0.130434783,0.166666667,0,3.078039716,-0.158199743,1
2174,1954,2,3,46344,1,1,3/8/14,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,27,4,0,67,3,113,0.0005826,0.2,0.4,0.166666667,0.4,0,1,-2.490878816,0.515199112,2
4141,1965,2,2,71613,0,0,8/21/13,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,776,20,0,56,2,312,0.010836021,0.380952381,0.476190476,1.6,0.047619048,0,0,2.163437713,0.256929616,1
6182,1984,2,2,26646,1,0,2/10/14,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,53,6,0,37,3,139,0.001989042,0.285714286,0.571428571,0.285714286,0.285714286,0,1,-2.713134583,-1.691156346,2
5324,1981,3,1,58293,1,0,1/19/14,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,422,14,0,40,3,161,0.007239291,0.333333333,0.4,0.833333333,0.333333333,0,1,-0.073156152,-0.211878694,3
7446,1967,3,2,62513,0,1,9/9/13,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,716,20,0,54,3,293,0.011453618,0.285714286,0.476190476,0.857142857,0.095238095,0,1,1.186549458,1.426842367,3
965,1971,2,3,55635,0,1,11/13/12,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,590,17,0,50,2,593,0.010604835,0.388888889,0.388888889,1,0.222222222,0,1,0.82618537,-0.323487799,3
6177,1985,3,1,33454,1,0,5/8/13,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,169,8,0,36,3,417,0.005051713,0.444444444,0.444444444,0.444444444,0.222222222,0,1,-1.602031271,-0.570787749,2
4855,1974,3,2,30351,1,0,6/6/13,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,46,5,1,47,3,388,0.001515601,0.5,0.333333333,0.3,0.166666667,0.166666667,1,-1.934734343,-1.268232334,2
5899,1950,3,2,5648,1,1,3/13/14,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,49,1,1,71,4,108,0.008675637,0.5,0,0.047619048,0.5,0.166666667,1,-4.605002864,3.391530541,2
387,1976,1,1,7500,0,0,11/13/12,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,61,5,0,45,2,593,0.008133333,0.333333333,0.5,0.222222222,0.166666667,0,0,-3.034762179,-1.515927793,2
2125,1959,2,3,63033,0,0,11/15/13,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,1102,15,0,62,1,226,0.017482906,0.1875,0.5,1,0.0625,0,0,2.291081317,-2.289019001,1
8180,1952,3,3,59354,1,1,11/15/13,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,310,12,0,69,3,226,0.0052229,0.461538462,0.384615385,0.857142857,0.230769231,0,1,0.074726951,1.91838745,3
